# A parancsazonosito oszlop 2026-09-01-en VISSZAKERULT (#1581).
# A ket korabbi gepi kinyeres azert bukott meg, mert a fordito a menurekord
# +0x04..+0x10 mezoit a KOVETKEZO rekord feliratanak betoltese UTAN irja ki:
# a push "<kulcs>" es a ra kovetkezo mov word ptr [...+0x0a] NEM tartozik ossze.
# A javitott horgony a rekord KEZDOCIME: mov dword ptr [REK], eax (#1409).
# KONTROLL: 13 fuggetlenul ismert azonositobol 13 egyezik, 0 ter el.
# URES cella ket okbol lehet:
#   (a) a bajtminta nem rajzolodott ki hianytalanul -> nem talalgatunk;
#   (b) a felirat-kulcsot TOBB parancs is hasznalja. A kulcs a FELIRATOT
#       nevezi meg, nem a parancsot: eMenuView::ID_VIEW_BW harom kulonbozo
#       menuben harom kulonbozo azonositoval szerepel.
# Kinyero: scripts/binaris/menu_parancsazonositok.py
# Reszletek: picasa-menu-leltar.md 7. szakasz.
menu,parancs,felirat_en,felirat_hu,parancsazonosito
eMenuView,ID_VIEWBYNAME,Sort by &Name,Rendezés &név alapján,0x9c8c
eMenuView,ID_VIEWBYRECENT,Sort by &Recent Changes,Rendezés a leg&utóbbi változtatások alapján,0x9cbd
eMenuView,ID_VIEWBYSIZE,Sort by &Size,Rendezés &méret alapján,0x9dc8
eMenuView,ID_VIEWREVERSE,Re&verse sort,Rendezés megfordítása,0xa0cf
eMenuView,ID_VIEW_16,&16-bit (dithered),&16 bites (szemcsézett),0x9d18
eMenuView,ID_VIEW_ALL,&Tree View,&Fanézet,0x9db9
eMenuView,ID_VIEW_AUTO,&Automatic,&Automatikus,0x9d1f
eMenuView,ID_VIEW_BW,&Black and White,&Fekete-fehér,
eMenuView,ID_VIEW_BW,&Black and White,&Fekete-fehér,
eMenuView,ID_VIEW_BW,&Black and White,&Fekete-fehér,
eMenuView,ID_VIEW_COLOR_MANAGED,Use Color Management,Színkezelés használata,0x9d72
eMenuView,ID_VIEW_DESKTOP,&Desktop,&Asztal,0x9dba
eMenuView,ID_VIEW_EDIT,Show Edit Controls,Szerkesztési vezérlők megjelenítése,0x9d6e
eMenuView,ID_VIEW_FOLDERS,&Flat Folder View,&Egyszerű mappanézet,0x9db6
eMenuView,ID_VIEW_LARGETHUMBNAILS,&Normal Thumbnails,&Normál indexképek,0x9c9c
eMenuView,ID_VIEW_LCD,&LCD Whitepoint,&LCD fehérpont,0x9d20
eMenuView,ID_VIEW_LIGHTBOXVIEW,&Library View,&Könyvtárnézet,0x9d2a
eMenuView,ID_VIEW_LINEAR,Linear &Gamma (2.2),Lineáris &gamma (2.2),0x9d1d
eMenuView,ID_VIEW_MAC,&Mac Gamma (1.6),&Mac gamma (1.6),0x9d1a
eMenuView,ID_VIEW_NORMAL,&24-bit,&24 bites,0x9d1e
eMenuView,ID_VIEW_OV,&Show overflow pixels,Túlcsordult &képpontok megjelenítése,0x9d55
eMenuView,ID_VIEW_PEOPLE,&People,&Emberek,0x9d6c
eMenuView,ID_VIEW_PICTURE,&Edit View,&Szerkesztési nézet,0x9c8f
eMenuView,ID_VIEW_PLACES,&Places,&Helyek,0x9d6d
eMenuView,ID_VIEW_PROJECTOR,&Projector Mode,&Projektor mód,0x9d19
eMenuView,ID_VIEW_PROPERTIES,Properties,Tulajdonságok,0x9d71
eMenuView,ID_VIEW_RDESK,&Remote Desktop,&Távoli asztal,0x9dbc
eMenuView,ID_VIEW_SEARCHVIEW,Search &Options,Keresési &opciók,0x9d2b
eMenuView,ID_VIEW_SEPIA,&Sepia,&Szépia,0x9d1b
eMenuView,ID_VIEW_SHOWHIDDEN,&Hidden Pictures,&Rejtett képek,0x9c9e
eMenuView,ID_VIEW_SLIDESHOW,&Slideshow,&Diavetítés,0x9c9f
eMenuView,ID_VIEW_SMALL,Small &Pictures,Kis &képek,0x9cd8
eMenuView,ID_VIEW_SMALLTHUMBNAILS,S&mall Thumbnails,&Kis indexképek,0x9c9d
eMenuView,ID_VIEW_THUMBNAILS,Show &Thumbnails in Library,Indexképek &megjelenítése a könyvtárban,
eMenuView,ID_VIEW_TIMELINE,Ti&meline,I&dőrend,
eMenuView,ID_VIEW_WATCHED,&Simplified Tree View,&Egyszerűsített fanézet,0x9db8
eMenuView,Shortcuts,&Shortcuts,&Gyorsbillentyűk,
eMenuView,ThumbnailCaption,Thumbnail &Caption,Indexkép &felirata,
eMenuViewWin,ID_VIEW_MYCOMPUTER,My &Computer,&Sajátgép,0x9dcb
eMenuViewWin,ID_VIEW_MYDOCS,My Do&cuments,Do&kumentumok,0x9db7
eMenuViewWin,ID_VIEW_MYPICTURES,My &Pictures,&Képek,0x9e3a
